,ID,Video Title,Views,Likes,isClickbait,image_path,processed_title,title_vector
140,B6v6I4u7LJU,WHO CAN PUNCH THE HARDEST IN AMP,232821,14510,no,/content/thumbnails/B6v6I4u7LJU___WHO CAN PUNCH THE HARDEST IN AMP.jpg,"['who', 'can', 'punch', 'the', 'hardest', 'in', 'amp']","[ 2.3425916e-04  1.4988093e-04 -1.6295245e-03  1.5138708e-04
  2.1320980e-03 -3.2969243e-03 -2.7132154e-04  3.8612469e-03
 -1.6635306e-03 -2.7804305e-03  1.0029071e-03 -3.3878421e-03
 -4.6557961e-03  3.8792361e-03  5.4952654e-04  8.0690306e-04
  2.5907201e-03  1.2716374e-03  1.3878501e-03 -6.4457171e-03
  6.3679148e-03 -1.2581117e-04  2.9955732e-03 -9.5698267e-04
  1.8816169e-03  1.2848743e-03 -2.8976954e-03 -4.5979908e-03
 -9.9063711e-04  1.0668752e-03  3.1332709e-03  4.7454652e-03
  1.9294100e-03 -1.7461234e-03 -2.5218187e-04  2.6878028e-03
 -3.0456830e-03 -5.3747417e-03 -3.3526537e-03 -4.6463474e-03
  8.8146022e-05 -2.4489597e-03  5.9477641e-04 -1.2923593e-03
  3.4326583e-03 -8.8112906e-04 -3.2127055e-03 -7.7475805e-04
  2.5354044e-03  1.4492896e-03 -3.7886021e-03 -5.2893381e-03
 -2.8957278e-03 -1.1381643e-03 -1.8903313e-03 -2.2681707e-03
  1.2624796e-03 -3.1474722e-03 -4.0729376e-03 -2.0937280e-04
  3.0454174e-03  8.5596077e-04  2.0040241e-03  7.6394336e-04
 -2.1799835e-03  3.4844668e-03 -1.0934450e-03  1.6798236e-03
 -2.3249888e-03  1.9524990e-03  5.5725290e-03  9.6381373e-05
  1.1612336e-03  1.0431565e-03  5.5959448e-03 -2.0065658e-04
  4.3743476e-03 -2.2288545e-05 -2.3449559e-04  1.3349652e-03
 -2.2007830e-03 -1.6995033e-03 -4.4235541e-03  2.6357102e-03
 -3.1769104e-04  1.1500759e-03  3.2435742e-03 -3.2095730e-04
  2.2331967e-03 -1.8620942e-03  1.3156611e-03  2.8362256e-03
  1.3059175e-03 -2.2244746e-04  3.7698378e-04  2.0434067e-03
 -1.9536139e-03 -4.5143799e-03 -1.4911406e-05  3.4188591e-03]"
113,H5O5MEcqGBU,BABY # 2 NAME REVEAL! (SUPER EMOTIONAL AND CUTE!),213991,7882,no,/content/thumbnails/H5O5MEcqGBU___BABY # 2 NAME REVEAL! (SUPER EMOTIONAL AND CUTE!).jpg,"['babi', '#', '2', 'name', 'reveal', '!', '(', 'super', 'emot', 'and', 'cute', '!', ')']","[-3.2075658e-03  3.2264679e-03 -2.5418034e-04  1.9196060e-03
  3.4439217e-04 -3.4838433e-03  8.1639137e-04  2.5884660e-03
 -2.3748099e-03 -2.4966146e-03  2.6265907e-03 -3.1156922e-03
  3.2343093e-04  2.7071089e-03  8.5526146e-04 -6.4121548e-04
  3.3536612e-03  7.9758500e-04 -2.9616558e-03 -5.5816066e-03
  1.2784259e-03  2.1977937e-03  1.7151058e-04 -1.8293082e-03
  1.2992758e-03  1.8944591e-04  4.0855489e-04  1.3159531e-03
 -2.9450962e-03  1.6424966e-03  2.2770998e-03  1.7866844e-03
  3.5691622e-04 -4.8212493e-03 -4.8017488e-03  3.6393874e-03
  9.6937228e-04 -7.4804516e-04 -1.4284526e-03 -4.4091223e-03
 -2.9016051e-03  4.0792150e-04 -2.2373599e-04  9.7514444e-04
  1.3994469e-04 -8.4363710e-04 -1.2825937e-03  1.5469860e-04
  1.0367206e-03  2.3060781e-03 -1.7587040e-03 -2.5863416e-04
  7.1232050e-04  1.6655481e-03 -6.0410623e-04  2.4900979e-03
  1.5377280e-03 -3.4588021e-03 -3.8458230e-03  1.3493217e-03
 -9.4871398e-04  7.1017293e-04  1.3906951e-03 -2.1187607e-03
 -2.6331788e-03  2.0800012e-03  1.2168887e-03  1.5446336e-03
 -1.6668455e-03  2.4443241e-03  1.7968874e-03  1.4102124e-03
  3.1783446e-04 -1.3567718e-03  1.8084478e-03  2.1697308e-03
  9.6791296e-04  2.1556919e-03 -2.5709397e-03  3.4809902e-05
 -3.1979661e-04  1.4289749e-03 -9.9078100e-04  1.6674977e-03
 -1.4705390e-03 -1.9936454e-03 -6.7117909e-04  3.7386853e-03
  3.1582927e-03  2.1584688e-03  2.1851009e-03  6.2142307e-04
  1.1872652e-03 -1.6716892e-03  5.9560249e-03  5.0307778e-03
  6.9238048e-04 -1.8801184e-03  5.3008605e-04  3.6039080e-03]"
16,zxYjTTXc-J8,"Last To Leave Circle Wins $500,000",21445488,1729921,yes,"/content/thumbnails/zxYjTTXc-J8___Last To Leave Circle Wins $500,000.jpg","['last', 'to', 'leav', 'circl', 'win', '$', '500,000']","[ 1.5838064e-03  2.1177898e-03  9.0793810e-06  7.8019255e-04
 -1.3036958e-03 -2.4648320e-03 -1.4600140e-03  2.6152916e-03
  1.5114450e-03  1.4336763e-03 -6.6843006e-04 -3.2855223e-03
  5.0610090e-03  9.1313916e-05  8.6383999e-04  4.1612092e-04
  2.5405898e-03 -7.8116264e-04  2.6385952e-03 -6.0643852e-03
  4.2972951e-03  1.7122523e-03  5.3632690e-04  1.6455220e-03
 -1.1283268e-03 -5.8930036e-05 -2.9322992e-03 -2.1294957e-04
 -2.8996463e-03  2.0962162e-04  1.4681303e-03 -4.4018307e-04
  7.3846015e-03 -1.0008108e-03 -1.6548621e-03  9.1716897e-04
  1.5263738e-04  2.7728200e-05 -5.6902124e-03 -1.6326652e-03
 -2.3878929e-03 -1.9412882e-03  1.9202054e-03  2.7827406e-04
 -2.0538406e-03 -5.2772118e-03 -4.6749371e-03 -2.7940278e-03
 -6.2038162e-04 -1.2318699e-03 -2.0103878e-03 -2.2783175e-03
 -1.8795356e-03  1.4443734e-03  9.9957024e-04  1.4129829e-03
  1.3418199e-03 -4.8115184e-03 -4.1193734e-03  3.2888802e-03
  7.1926275e-04 -5.5732005e-03 -2.6287777e-05  9.3334020e-05
 -6.1127250e-03  1.7126064e-03 -3.3137775e-03  1.9285871e-03
 -1.9413764e-03 -2.6189099e-04 -1.2198883e-03 -1.4264135e-03
  1.6675425e-03  2.7306081e-04  2.6548258e-03  4.3028719e-03
  7.6569086e-05  5.1652209e-04 -5.4354593e-03  1.9236465e-03
 -1.9270686e-03 -1.2646362e-03 -3.6123239e-03  7.5975875e-03
 -3.8269663e-03 -1.5779312e-03 -1.1320969e-03  4.7811591e-03
  1.9169477e-03 -1.7087198e-03  5.4274318e-03  1.3782781e-03
 -2.3255204e-03  2.6769922e-03  4.9217441e-03  6.4539029e-03
  3.9271610e-05 -3.2294291e-05  1.4734761e-03 -3.2438014e-03]"
75,jPiPvAafhPU,LUCKY PEOPLE Who Avoided VERY CLOSE CALLS,13431007,136547,yes,/content/thumbnails/jPiPvAafhPU___LUCKY PEOPLE Who Avoided VERY CLOSE CALLS.jpg,"['lucki', 'peopl', 'who', 'avoid', 'veri', 'close', 'call']","[ 2.1841438e-03 -1.0507915e-03  1.8662575e-03  5.1283124e-03
 -2.3623202e-03  2.5184159e-05  1.3318205e-03 -7.1248639e-04
 -6.2520208e-04  3.7786629e-04  5.1096163e-04 -1.9247867e-03
 -2.0157837e-03  2.2665821e-03 -2.2610895e-04  6.6002086e-04
 -1.5565177e-03 -2.9364862e-03 -1.0811314e-03 -2.0746752e-03
  2.4853484e-03  3.1520377e-03  1.3046464e-03 -1.4413261e-03
  6.5236312e-04 -1.1112654e-03 -1.1030448e-03  6.2358100e-05
 -3.5683902e-03 -8.8574603e-04  2.2159165e-03 -6.2532206e-05
  2.3367086e-03  6.3671370e-04  4.0667029e-03  1.5257803e-03
  2.5439556e-03 -3.1757131e-03 -2.2717044e-03 -2.6816756e-03
  9.6867391e-04 -1.4355053e-03  2.2564355e-04  1.7867179e-03
  5.9531955e-03  3.0753685e-03 -1.8531078e-03 -4.3639787e-03
  5.5801375e-03  1.5909581e-03  1.0644468e-03  1.3715298e-03
 -1.3234074e-03 -1.9518398e-03 -2.7517628e-04  2.6833348e-03
 -3.3878426e-03 -2.2003113e-03 -3.2966919e-03  1.1868534e-03
 -2.3150988e-04  1.6173875e-03  2.1534381e-03 -1.6525824e-03
 -3.6616672e-03  2.2113014e-03 -3.8168015e-04  3.2523822e-03
  4.3286942e-05 -2.1154222e-03  2.0173367e-03  4.3810066e-04
  2.0118237e-03  3.8360185e-03 -3.3709721e-03 -6.5493928e-06
  2.8142610e-03 -1.7878587e-03 -2.3120362e-03  1.8308663e-03
 -4.5372493e-04 -2.2861920e-03 -3.4781634e-03  2.6287124e-03
 -2.4517130e-03 -1.0794574e-04 -2.5093774e-04  1.7595154e-03
  1.8325502e-03 -2.8941900e-04  3.6636028e-03  4.7107894e-04
 -3.3767283e-04 -4.4993977e-03 -3.5896339e-03  4.1086492e-03
 -1.0786456e-03 -2.4371480e-03  1.2157758e-03 -1.2911119e-03]"
155,oqICzYBjjTw,DaBaby - Wockesha (Freestyle) [Official Video],1823136,137724,no,/content/thumbnails/oqICzYBjjTw___DaBaby - Wockesha (Freestyle) [Official Video].jpg,"['dababi', '-', 'wockesha', '(', 'freestyl', ')', '[', 'offici', 'video', ']']","[-2.49781949e-03  4.58169961e-03 -8.53862788e-04 -2.01646821e-03
  3.11928033e-03 -3.11595085e-03  3.90296732e-03  4.85988613e-03
  1.94533227e-03 -3.30271805e-03 -3.10750119e-03 -5.57330344e-03
  8.18090688e-04 -1.01715338e-03 -1.22656557e-03 -1.82099524e-03
  3.54944426e-03  1.90827763e-04  1.06992922e-03 -4.57653869e-03
 -1.11695600e-03  2.85669375e-04  1.85551215e-03 -4.96844482e-03
 -4.93186759e-04  4.87972051e-04 -3.98937147e-04  1.39268511e-03
 -1.04346150e-03  1.33049407e-03  5.52791054e-04 -2.90883472e-03
 -6.08867485e-05 -1.57187821e-03 -2.40649050e-03  3.97891650e-04
  3.03156296e-04 -1.69142336e-03  1.63765938e-03 -1.28479884e-03
  2.26949202e-03 -2.68095429e-03 -1.77287532e-03 -9.89266438e-04
  1.04793312e-03 -1.85451150e-04 -4.50412976e-04  1.37756115e-05
  7.52423133e-04 -1.19272991e-04  2.82882852e-03 -4.79916949e-03
  3.08267015e-04 -2.73307762e-03 -4.62597515e-03  4.09436354e-04
  5.32263797e-03  1.87788229e-03 -1.60902587e-03  1.21440296e-03
  1.84897077e-03 -2.22385908e-03  1.97069673e-03 -2.34867865e-03
 -7.48421066e-04  2.32436182e-03  6.23832515e-04  6.28990994e-04
 -3.94960586e-03  2.00665859e-03  9.18799546e-04 -1.77776872e-03
  4.27999254e-03  1.17330020e-03 -3.85167164e-04  4.70776431e-04
  3.76728189e-04 -6.22056250e-04 -1.09681056e-03  3.94946523e-03
 -3.42733227e-03 -2.08571879e-03 -4.27707378e-03  9.84059065e-04
  1.62957946e-03 -1.44573650e-03  2.62059411e-03  1.13003794e-03
  2.11446173e-03 -1.97614077e-03  3.11699556e-03 -6.06611953e-04
  2.37110700e-03 -1.68562331e-03  3.94975580e-03  8.97871971e-04
  2.34173494e-03 -4.11249744e-03  6.39818551e-04  2.28837854e-03]"
186,sjXnU_jYGf8,How to Master the Zandvoort F1 Track!  Nico Rosberg  Dutch GP 2021,525063,19976,no,/content/thumbnails/sjXnU_jYGf8___How to Master the Zandvoort F1 Track!  Nico Rosberg  Dutch GP 2021.jpg,"['how', 'master', 'zandvoort', 'f1', 'track', '!', 'nico', 'rosberg', 'dutch', 'gp', '2021']","[ 2.6306119e-03  3.7794171e-03  9.2260109e-04  1.1731925e-03
 -4.6320853e-04 -3.9915796e-03 -2.1572126e-04  3.9557456e-03
 -1.0912345e-03 -7.0337084e-04  4.6174301e-04 -2.7726269e-03
 -8.7646644e-05  4.1540978e-03 -2.3235043e-03  2.3729464e-03
 -8.5038005e-04 -1.6215523e-03 -1.5751607e-03 -3.3671646e-03
 -2.2628037e-03  1.4197552e-03  1.6040850e-03  2.0128247e-04
 -2.4191514e-03  3.8365470e-03 -2.1804841e-03  2.9192334e-03
 -2.1538856e-03 -1.4173659e-04 -9.6633699e-04  5.0315872e-04
  1.6711756e-03 -2.2919411e-03 -3.6651760e-03  3.0947500e-03
  1.5285462e-03  5.3344888e-04 -3.6303347e-03 -1.9213255e-03
 -5.6030101e-05  1.0798770e-03 -2.4090284e-03 -1.3433787e-03
  6.8061217e-04  3.5060022e-04 -1.8356927e-03  3.4293553e-04
 -1.9443181e-03  9.6822667e-05 -1.6186140e-03  1.7463826e-04
 -2.3535343e-03 -1.9130175e-03  7.5927639e-04  5.5633165e-04
 -1.2367015e-03 -9.1123438e-05 -3.8150177e-04 -2.2378953e-03
  2.2325253e-03 -1.0228002e-03  2.5029422e-03  1.8880037e-03
  1.1666708e-03 -1.5900176e-03  6.7432632e-04  1.7213891e-03
 -7.1118400e-04  2.8798173e-04 -2.4005660e-04  3.9799199e-03
 -1.4825300e-03 -3.5400109e-03  2.5100778e-03  2.0654178e-03
 -1.0526238e-03  8.1282953e-04 -3.5533474e-03  2.4793006e-04
 -7.5393723e-04  8.5904333e-04 -9.2201866e-05  3.2286665e-03
 -4.4749109e-03  2.2581384e-04 -2.3346805e-04  8.2041504e-04
  2.4750084e-03  1.9093779e-03  2.3329051e-03  2.4376444e-03
  1.8026199e-03  4.8373031e-04  8.3541410e-04  3.3465179e-03
 -4.5318922e-04  5.7566637e-04  1.1832000e-03  2.7702046e-03]"
69,k0vHQsvEMo4,Creepy Tik Toks You Should NOT Watch At Night,46930,2308,yes,/content/thumbnails/k0vHQsvEMo4___Creepy Tik Toks You Should NOT Watch At Night.jpg,"['creepi', 'tik', 'tok', 'you', 'should', 'not', 'watch', 'at', 'night']","[-1.1773620e-04 -7.4145454e-04  1.0982198e-03  2.9715009e-03
  9.6022082e-04 -1.0128807e-03 -1.8391378e-03  4.7363315e-04
 -2.4514394e-03 -8.4028119e-04 -1.1890651e-04  1.5467814e-04
 -2.2214882e-03  1.6883492e-03  2.0007340e-03 -2.9963679e-03
  5.6874371e-05  9.3318522e-04 -3.4256818e-04 -2.0007023e-03
  1.9740751e-03 -2.3665486e-04  3.5951112e-03 -3.0649090e-03
 -5.5943322e-03  1.9218357e-03  4.5536395e-05  9.4484654e-04
 -2.1849955e-03  5.1372778e-03 -1.3016630e-03 -1.7876201e-04
 -7.1058638e-04  2.0706218e-03 -1.8812940e-03  1.7112737e-04
 -1.9601649e-03 -1.1355939e-03 -4.8144050e-03 -4.3462762e-03
  3.7173482e-04  3.1421783e-03 -5.6029321e-04  4.4291667e-03
  4.5937000e-04 -1.8060816e-03 -3.9132126e-04 -2.1847626e-03
  3.6471200e-03 -4.2806664e-03 -1.3418724e-03 -2.6337402e-03
  5.1812164e-04  5.2302488e-04  1.9898890e-03  1.2678314e-03
 -3.3046483e-05 -7.5549778e-04  1.2053787e-04  4.0799133e-03
  2.8309165e-04  9.8058069e-04  1.4891445e-03  4.9444614e-04
  1.6185414e-04  2.4226329e-03 -4.2171874e-03  4.7881692e-03
 -3.9715529e-03 -2.2324258e-03  3.0180155e-03 -2.1776506e-03
 -6.3539128e-04  1.5983424e-03 -5.5116072e-04  1.2971687e-03
  1.4854484e-03 -1.2067112e-03  4.1647936e-04 -3.2650593e-03
  6.7167106e-04 -2.2156707e-03 -2.5377295e-03 -7.8854134e-04
 -1.1812722e-03 -5.5821525e-04  6.3317094e-04  4.6714102e-03
  3.6872763e-03 -9.9483342e-04  7.8213017e-04  1.8230749e-03
 -3.0454753e-03  1.2906173e-03  2.3346806e-03  3.6598850e-04
 -1.0794891e-03  1.6345797e-05  7.6764612e-04 -1.8546111e-03]"
55,8Nc1u8Kh6IM,THIS LADY TRIED TO TAKE MY DOG!,24392403,475493,yes,/content/thumbnails/8Nc1u8Kh6IM___THIS LADY TRIED TO TAKE MY DOG!.jpg,"['thi', 'ladi', 'tri', 'to', 'take', 'my', 'dog', '!']","[ 1.6250963e-03 -2.5065646e-03 -9.3059655e-04  2.4866047e-03
 -2.3472891e-03 -5.9345560e-03  8.2765205e-04  8.7225027e-03
 -5.6981030e-03 -2.7188878e-03  1.5660974e-03 -2.7295563e-03
  1.1181473e-03  1.0039309e-03 -3.3087656e-04 -7.6872658e-04
  1.5850015e-03  2.5466821e-04  1.9721924e-03 -4.6307240e-03
 -1.4916363e-03 -1.5406174e-03  2.8595740e-03 -7.9101254e-04
 -9.4750884e-04 -1.6834264e-03 -4.7281627e-03 -2.4100575e-03
  2.0682993e-03 -2.4040770e-03  8.2531036e-04  2.8883095e-03
  3.9835218e-03 -1.3835612e-05  5.4089178e-05  2.7381848e-03
  8.5322914e-04 -4.9413657e-03 -1.6069632e-03 -3.4204463e-03
 -3.4929868e-03 -3.7902156e-03  2.2960473e-03  1.2472477e-03
 -3.9032634e-04 -2.0491977e-03 -2.6497138e-03 -5.3577463e-04
  4.1706041e-03  2.3267260e-03  1.2409384e-03 -1.8015341e-03
 -4.6156620e-04  1.4096964e-04  7.3445711e-04  1.0297324e-03
  1.5807031e-03 -2.5259242e-03  4.1158957e-04  3.2972409e-03
  1.3242721e-03  1.5003412e-03  1.4804115e-03 -2.0022993e-04
 -4.0976293e-03  2.8211537e-03  5.7719700e-04  3.7481203e-03
 -1.9300597e-03  2.6015937e-03  1.9223237e-04  2.1332182e-04
  1.7377466e-03 -1.0193320e-03  2.8300476e-03  3.1309046e-03
  3.0685493e-03  7.6113065e-04 -3.7041027e-03 -7.1406388e-04
  6.1774766e-04  1.9268073e-04  5.5659586e-04  6.5593547e-03
 -1.4676299e-03 -7.6204422e-05 -7.2291214e-04  4.7237151e-03
  3.5240350e-03  2.1962663e-03  4.3909131e-03 -7.7272102e-04
  2.0029638e-03  2.2899227e-03  4.5582205e-03  1.6898027e-04
  1.0589490e-03 -4.0450217e-03  4.0140253e-04 -3.7771714e-04]"
18,1iNoQSM8pqU,this video will make you forget your name..,916206,76981,yes,/content/thumbnails/1iNoQSM8pqU___this video will make you forget your name...jpg,"['video', 'make', 'forget', 'name', '..']","[ 1.0583561e-03  7.5497227e-03 -3.4100795e-04 -1.7810458e-03
 -1.3035573e-03  1.2858423e-03  4.0682042e-03 -1.7264227e-03
  3.2781221e-03 -1.1627318e-03  2.8178606e-03 -4.2098318e-03
 -2.3932473e-03 -4.5769094e-03  1.6938184e-03 -2.2429104e-03
  1.3087749e-03 -1.6696791e-03 -3.2157204e-03 -4.2971917e-03
  5.6239450e-03  6.1209826e-03  3.7714757e-03 -4.2879838e-03
 -3.2059994e-04  3.2134515e-03 -2.7412269e-03 -4.0432094e-03
  9.8735117e-04 -1.8390028e-03  1.6233422e-03  3.8644844e-03
  2.9468052e-03  7.1191863e-04  1.5144517e-03  2.8900052e-03
  9.3960995e-04  3.4516496e-03 -4.1610207e-03 -6.7994744e-04
 -1.5580453e-03 -1.7651960e-03  2.7277397e-03  1.9768849e-03
 -4.9839879e-04 -5.4422312e-04  1.1931704e-03  2.1025077e-03
 -1.1946913e-03  7.5017172e-04  9.5372496e-04 -8.3710847e-04
  4.7579990e-03 -1.2271386e-04 -1.8960771e-03 -1.3309431e-03
 -2.1752175e-04 -6.4355705e-04 -1.4934267e-03  4.6635168e-03
 -2.9215666e-03 -6.5076194e-04  5.0210082e-03  1.6915833e-03
 -8.6179690e-04  2.9502399e-03  1.0662747e-03  5.1963432e-03
 -7.0622466e-03 -3.5432345e-04 -4.5075482e-03 -1.2959602e-03
  5.0962681e-04  1.3826287e-03 -3.6936798e-03 -4.4565895e-03
  8.8293629e-04 -2.7585365e-03 -4.6049971e-03  2.6884456e-03
 -2.5535319e-03 -3.5167430e-03  1.2689729e-03 -2.2436939e-04
  4.4703000e-04 -3.4657505e-03  3.3506386e-03  5.3468598e-03
  4.9862458e-04  1.5448168e-03  4.1700210e-03 -4.7117075e-05
 -1.6170111e-04 -7.2622299e-04  2.8832115e-03  1.4712198e-03
  3.3793147e-03  2.3910482e-03  2.3469240e-03  1.7396882e-04]"
170,WjKEAZWMzqs,12 Minutes... HOW CAN I SAVE MY BABY IN TWELVE MINUTES,4213438,467145,no,/content/thumbnails/WjKEAZWMzqs___12 Minutes... HOW CAN I SAVE MY BABY IN TWELVE MINUTES.jpg,"['12', 'minut', '...', 'how', 'can', 'i', 'save', 'my', 'babi', 'in', 'twelv', 'minut']","[-1.0725543e-03  1.6834246e-03 -3.9955177e-03  9.0371707e-04
  1.0729347e-03 -5.5014845e-03 -3.1765252e-03 -1.8176006e-04
 -3.9443919e-03 -1.4254839e-04 -1.4982260e-03 -2.4151076e-03
 -2.4021642e-04  2.0856664e-03  1.3475441e-03 -4.4536099e-04
 -7.6534780e-04 -1.8987037e-03 -1.6504405e-03 -2.7577279e-03
  4.6171290e-03 -1.2875859e-03  1.7348885e-03  1.1352911e-03
  1.9951367e-03 -8.8422513e-04 -4.6417937e-03 -8.9620141e-04
 -3.1733960e-03 -5.6623167e-04  5.5973730e-03 -3.7185894e-04
  2.5866428e-04 -1.1450573e-03 -2.5160503e-04 -1.8419014e-05
 -4.4361379e-05 -6.8439887e-04 -3.0555754e-04 -4.0463251e-03
  4.0108180e-03 -1.0879018e-03 -2.7951982e-04  8.6055166e-04
  7.3701399e-04 -8.1353058e-04 -1.3315040e-03  2.2871622e-03
  2.8901575e-03  3.3210311e-04  1.6448421e-04  4.6112339e-04
  2.6422113e-04  2.2914952e-03  7.7881874e-04  6.9093425e-04
 -1.6388172e-05  1.0655988e-03 -1.0652161e-03 -6.7960535e-04
  4.2274171e-03  2.1461770e-03  3.4158537e-03  1.3814251e-03
 -4.3831919e-03  2.3623619e-03  4.0355310e-04  1.8826062e-03
 -1.3744362e-03  1.2144946e-03 -7.5311837e-04  1.9613989e-03
  2.8489900e-04 -2.1911785e-04  5.2278503e-03  4.4736522e-03
 -1.1959326e-03  3.0129831e-03 -3.3524651e-03  8.8959461e-04
 -9.3654689e-04 -9.8263042e-04 -3.0558163e-03  4.7439006e-03
 -3.7519759e-04 -1.3266151e-03  5.6520727e-05  3.7756730e-03
 -3.9264691e-04  5.4768525e-04  3.1470556e-03  1.8906173e-03
 -1.7775235e-03  2.7606112e-03  4.0943227e-03  2.8167916e-03
  4.7003114e-04 -1.0101110e-03 -1.5940733e-03 -7.8129466e-04]"
